parameter,mu,mu_star,sigma,mu_star_conf
n_agents,160.5,160.5,0.0,0.0
road_length,0.0,0.0,0.0,0.0
road_width,0.0,0.0,0.0,0.0
n_teams,0.0,0.0,0.0,0.0
rider_length,0.0,0.0,0.0,0.0
rider_width,0.0,0.0,0.0,0.0
w_max10_mean,0.0,0.0,0.0,0.0
w_max10_std,0.0,0.0,0.0,0.0
cp_fraction,0.0,0.0,0.0,0.0
recovery_rate,0.0,0.0,0.0,0.0
k_aero,0.0,0.0,0.0,0.0
c_roll,0.0,0.0,0.0,0.0
ref_speed_frac,0.0,0.0,0.0,0.0
group_radius,0.0,0.0,0.0,0.0
k_s,0.0,0.0,0.0,0.0
breakaway_speed_frac,0.0,0.0,0.0,0.0
breakaway_cooldown_steps,0.0,0.0,0.0,0.0
learning_rate,0.0,0.0,0.0,0.0
evo_noise,0.0,0.0,0.0,0.0
sim_scale,0.0,0.0,0.0,0.0
evo_bottom_frac,0.0,0.0,0.0,0.0
evo_top_frac,0.0,0.0,0.0,0.0
imitation_mu,0.0,0.0,0.0,0.0
logit_lambda,0.0,0.0,0.0,0.0
